Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 1,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 10,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 11,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 12,
J13,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,XT60 In,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 2,
J21,IDC-Header_2x04_P2.54mm_Vertical,1,Controller 1 Connector,
J22,IDC-Header_2x04_P2.54mm_Vertical,1,Controller 2 Connector,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 3,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 4,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 5,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 6,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 7,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 8,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Switch 9,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Use Controller 1 +5v,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Use Controller 2 +5v,
JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Use 560 Pro +3.3v,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U2,Mini 560 Pro,1,~,
